,PETR4,VALE3,ITUB4,BBDC4,ABEV3,B3SA3,WEGE3,RENT3,LREN3,ELET3
2018-01_Markowitz,0.020000000000016924,0.13096071916644836,0.0200000000000091,0.02000000000000832,0.06184525552448582,0.05156029958520551,0.19999999999998805,0.19999999999998763,0.19999999999998777,0.09563372572386253
2018-01_Equal Weight,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01_Risk Parity,0.04065327800755352,0.06977261826601493,0.08186384277226,0.07532734216407007,0.21271678904406666,0.08126315892264029,0.18103504854871896,0.08409266008864774,0.11246008615113356,0.06081517603489423
2018-07_Markowitz,0.13627194763227707,0.19999999999929807,0.019999999999929807,0.019999999999929807,0.04701929498660713,0.019999999999929807,0.19999999999929807,0.19999999999929807,0.13670875738350224,0.019999999999929807
2018-07_Equal Weight,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-07_Risk Parity,0.057447979072310223,0.15536170091698082,0.06887932138338611,0.06351810645981151,0.16842781939084894,0.08317672150797288,0.19145286427819908,0.08543671802054108,0.08637031561752356,0.03992845335242581
2019-01_Markowitz,0.020000000000000077,0.19999999999999993,0.020000000000000465,0.019999999999999993,0.019999999999999993,0.09999999999999858,0.19999999999999993,0.19999999999999954,0.19999999999999976,0.020000000000001756
2019-01_Equal Weight,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2019-01_Risk Parity,0.06454752335239222,0.14891958302854347,0.07146034980726997,0.06624369005497355,0.1400141892728241,0.0780950092174173,0.19669058005141693,0.08364139550738678,0.11268395174911963,0.03770372795865615
2019-07_Markowitz,0.020000000000773722,0.19999999999873297,0.020000000000782264,0.020000000000844672,0.020000000000762096,0.12714593375631902,0.17753904975069118,0.19999999999914653,0.19531501649099484,0.02000000000095279
2019-07_Equal Weight,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2019-07_Risk Parity,0.0633253305255851,0.20646987279384338,0.07985614738236461,0.0635474578783382,0.10457047201918326,0.08035183067698615,0.17241383913508232,0.0848117903889043,0.10906080715500512,0.035592452044707505
